naklad_szt;objetosc_m3;konstrukcja_kg;sklejka_m3;drewno_m3;plyta_m2;druk_m2;led_mb;tworzywa_m2;koszty_pozostale;rodzaj_tworzywa;rodzaj_displaya;stopien_skomplikowania;cena
165;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;811,74
20;0,443;12,50;0,000;0,000;0,00;0,12;0,00;0,00;0,00;;paleciak;3;899,91
300;0,001;0,09;0,000;0,000;0,00;0,01;0,00;0,00;0,00;PET ;naladowy;1;25,02
300;0,001;0,09;0,000;0,000;0,00;0,01;0,00;0,00;0,00;PET ;naladowy;1;23,12
701;0,452;6,34;0,000;0,000;1,56;0,65;0,00;0,47;0,00;PET ;paleciak;3;538,06
30;0,338;8,06;0,124;0,000;0,00;0,10;0,00;0,03;0,00;PET ;regal;3;731,03
50;0,005;10,30;0,000;0,000;0,00;;0,00;0,19;0,00;PMMA ;naladowy;3;444,04
100;0,254;0,00;0,000;0,012;0,00;0,81;0,00;1,61;0,00;PET ;potykacz;2;329,12
250;0,157;0,08;0,000;0,000;1,25;0,62;0,00;0,06;0,00;HIPS;regal;3;333,03
60;0,219;26,43;0,000;0,000;0,00;0,37;0,00;0,47;0,00;;regal;3;1107,54
150;0,471;6,45;0,000;0,000;1,62;4,91;0,00;0,20;0,00;PET ;paleciak;3;708,10
50;0,300;10,50;0,003;0,000;1,50;3,32;0,00;0,00;0,00;;pozostale;4;852,75
1;0,074;4,75;0,000;0,000;0,00;0,10;0,00;0,06;0,00;PET ;potykacz;1;1834,02
200;0,151;0,27;0,000;0,000;2,30;0,84;0,00;0,00;0,00;;regal;2;345,77
150;0,330;0,39;0,000;0,000;3,45;0,92;0,00;0,00;0,00;;regal;2;425,07
200;0,183;0,27;0,000;0,000;2,67;0,84;0,00;0,00;0,00;;regal;2;371,93
12;0,012;0,26;0,000;0,000;0,00;0,07;0,00;0,33;0,00;HIPS;pozostale;1;251,37
150;0,330;0,39;0,000;0,000;3,45;0,92;0,00;0,00;0,00;;regal;2;443,51
100;0,150;0,27;0,000;0,000;2,30;0,84;0,00;0,00;0,00;;regal;2;293,38
150;0,183;0,27;0,000;0,000;2,67;0,84;0,00;0,00;0,00;;regal;2;373,01
1;0,005;4,00;0,001;0,000;0,00;0,16;1,80;0,50;0,00;PMMA;pozostale;2;1911,00
1;0,335;26,00;0,030;0,000;0,00;1,35;11,00;0,70;0,00;PET ;regal;3;6303,75
3;0,001;6,76;0,000;0,000;0,00;0,00;0,00;0,18;0,00;PMMA;naladowy;1;1000,69
10;0,450;8,42;0,000;0,000;2,12;0,38;0,00;0,58;0,00;PET ;regal;2;1154,28
30;0,009;0,00;0,200;0,000;0,00;0,13;0,00;0,13;0,00;HIPS;naladowy;2;147,75
90;0,009;0,00;0,200;0,000;0,00;0,13;0,00;0,13;0,00;HIPS;naladowy;2;141,36
160;0,002;0,13;0,000;0,000;0,00;0,08;0,00;0,08;0,00;PET ;naladowy;2;35,42
10;0,864;42,00;0,000;0,000;0,00;3,12;2,30;4,50;199,47;PMMA;regal;5;4225,95
10;1,700;10,45;0,465;0,000;1,16;0,20;0,00;0,00;0,00;;regal;4;1161,20
80;0,008;0,85;0,000;0,000;0,00;0,15;0,90;0,08;0,00;PMMA;naladowy;3;256,05
20;0,427;19,00;0,000;0,000;0,00;0,14;0,00;0,25;0,00;HIPS;regal;3;1232,59
208;0,033;0,00;0,003;0,005;0,16;0,33;0,00;0,16;0,00;PET ;naladowy;3;753,17
40;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;741,94
250;0,034;1,25;0,000;0,000;0,00;0,02;0,00;0,00;0,00;;naladowy;2;95,38
200;0,021;1,15;0,000;0,000;0,00;0,01;0,00;0,00;0,00;;naladowy;2;130,59
900;0,027;1,15;0,000;0,000;0,00;0,04;0,00;0,00;0,00;;naladowy;2;77,24
5000;0,001;0,00;0,000;0,000;0,00;0,00;0,00;0,17;4,60;HIPS;ekspozytor_tworzywowy;3;39,36
60;0,257;17,50;0,000;0,000;0,00;0,20;0,00;0,00;0,00;;regal;3;672,75
300;0,050;1,00;0,000;0,000;0,00;0,10;0,00;0,00;0,00;;naladowy;3;113,92
30;0,310;1,16;0,000;0,000;1,64;0,78;0,00;0,78;0,00;NAKLEJKA;regal;2;519,38
320;0,889;8,65;0,000;0,000;4,84;1,05;0,00;0,41;0,00;PET ;regal;3;774.62 
200;0,001;0,00;0,000;0,000;0,00;0,01;0,00;0,03;0,00;PET ;naladowy;2;25.78 
200;0,004;0,00;0,000;0,001;0,00;0,02;0,00;0,13;0,00;PET ;naladowy;2;36,28
56;0,052;0,11;0,000;0,000;0,74;0,33;0,00;0,67;0,00;PMMA;naladowy;3;516,45
20;2,094;0,70;0,000;0,100;12,50;9,90;4,40;0,90;325,00;PMMA;wyspa;4;5551,75
171;0,263;22,00;0,000;0,000;0,00;0,00;0,00;0,14;0,00;PET ;regal;3;681,42
160;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;817,02
24;0,378;23,50;0,000;0,004;0,00;0,60;3,60;0,55;0,00;PET ;regal;3;1050,20
50;0,019;2,75;0,000;0,000;0,00;0,00;0,00;0,04;0,00;PET ;pozostale;1;124,51
10;0,855;9,00;0,000;0,000;3,99;0,33;0,00;0,58;0,00;PET ;regal;2;739,65
80;0,002;0,61;0,001;0,000;0,00;0,09;0,43;0,02;0,00;HIPS;pozostale;1;184,54
50;0,450;8,42;0,000;0,000;2,12;0,38;0,00;0,58;0,00;PET ;regal;2;577,39
250;0,450;8,42;0,000;0,000;2,12;0,38;0,00;0,58;0,00;PET ;regal;2;257,70
450;0,270;8,67;0,000;0,000;1,07;0,44;0,00;0,35;0,00;PET ;regal;2;232,37
1;0,014;0,26;0,000;0,000;0,00;0,05;0,00;0,33;0,00;HIPS;pozostale;1;990,00
30;1,560;24,18;0,000;0,000;0,00;4,00;0,00;4,50;0,00;HIPS;regal;1;1374,55
1;1,175;2,49;0,018;0,000;0,00;2,11;0,00;3,10;0,00;PET ;pozostale;2;2935,68
1;0,007;0,00;0,000;0,000;0,00;0,00;0,00;1,39;0,00;;pozostale;1;291,33
2;1,200;16,80;0,000;0,000;2,94;2,20;0,00;0,00;0,00;;regal;3;2656,42
200;0,349;10,00;0,016;0,000;0,00;0,98;0,00;0,23;0,00;PET ;regal;3;763,86
450;0,001;0,00;0,000;0,000;0,00;0,20;0,00;0,20;0,00;PET ;ekspozytor_tworzywowy;2;54,83
520;0,001;0,00;0,000;0,000;0,00;0,20;0,00;0,20;0,00;PET ;ekspozytor_tworzywowy;2;74,86
100;0,000;0,35;0,000;0,000;0,00;0,00;0,00;0,00;0,00;;naladowy;2;88,21
150;0,378;23,50;0,000;0,004;0,00;0,60;3,60;0,55;0,00;PET ;regal;3;997,71
15;0,440;12,00;0,000;0,000;0,60;0,05;0,00;0,00;0,00;;regal;3;1175,47
10;0,007;1,50;0,000;0,000;0,00;0,00;0,00;0,00;0,00;;naladowy;2;326,24
136;0,378;23,50;0,000;0,004;0,00;0,60;3,60;0,55;0,00;PET ;regal;3;1282,60
500;0,008;3,50;0,000;0,000;0,00;0,20;0,00;0,00;0,00;;druciak;3;119,94
20;0,387;2,70;0,000;0,000;1,30;1,27;0,00;0,00;0,00;;owijka;2;388,93
340;0,021;3,00;0,000;0,000;0,00;0,13;0,00;0,20;0,00;PET ;naladowy;3;276,08
200;0,002;0,18;0,000;0,000;0,00;0,00;0,00;0,03;0,00;PET ;naladowy;2;31,64
100;0,021;0,00;0,456;0,000;0,00;0,06;0,00;0,00;0,00;;naladowy;2;165,64
200;0,045;4,45;0,000;0,000;0,00;0,02;0,00;0,00;0,00;NAKLEJKA;regal;3;229,16
4;0,675;40,00;0,000;0,058;0,00;0,00;0,00;0,00;0,00;;wyspa;3;2370,29
1;0,001;0,00;0,000;0,000;0,00;0,01;0,00;0,03;0,00;PET ;naladowy;2;530,00
125;0,244;17,30;0,006;0,000;0,00;0,96;0,00;0,00;0,00;;regal;3;871,04
